ID,原始文本,标注结果,发现的问题
1,这个耳机音质不错，佩戴也舒服。,POS,
2,页面加载很慢，我等了两分钟还没打开。,NEG,
3,系统将于今晚进行版本升级。,NEU,
4,课程内容挺好，但是讲义排版太乱。,NEG,
5,虽然路上堵车，但最终还是准时到了。,POS,
6,这次活动一般，没有特别惊喜。,NEU,
7,售后态度敷衍，问题至今没解决。,NEG,
8,新同事很专业，沟通效率很高。,POS,
9,我已收到邮件，请知悉。,NEU,
10,功能很多，但真正好用的不多。,NEG,
11,酒店离地铁近，出行很方便。,POS,
12,不确定明天会不会下雨。,NEU,
13,等了一小时客服才回复，体验太差。,NEG,
14,方案通过了，大家都很满意。,POS,
15,你先看下附件，有问题再沟通。,NEU,
16,电池续航提升明显，不过机身略重。,NEU,
17,终于修好了，感谢技术团队。,POS,
18,这个改动影响不大，先观察一周。,NEU,
19,王敏今天在深圳参加了华为开发者活动。,PER: 王敏; LOC: 深圳; ORG: 华为; TIME: 今天,
20,李雷计划下周一上午去北京大学做分享。,PER: 李雷; TIME: 下周一上午; ORG: 北京大学,
21,腾讯会议将在2026年6月10日发布新功能。,ORG: 腾讯会议; TIME: 2026年6月10日,
22,陈老师昨天从上海飞往成都。,PER: 陈老师; TIME: 昨天; LOC: 上海; LOC: 成都,
23,我们将在明天下午三点于杭州总部开会。,TIME: 明天下午三点; LOC: 杭州,
24,字节跳动与阿里巴巴在北京签署合作协议。,ORG: 字节跳动; ORG: 阿里巴巴; LOC: 北京,
25,小王向清华大学提交了申请材料。,PER: 小王; ORG: 清华大学,
26,会议定在本周五晚上八点，地点在广州天河。,TIME: 本周五晚上八点; LOC: 广州天河,
27,OpenAI 于周二在旧金山举办开发者大会。,ORG: OpenAI; TIME: 周二; LOC: 旧金山,
28,刘晨毕业于复旦大学，现就职于微软亚洲研究院。,PER: 刘晨; ORG: 复旦大学; ORG: 微软亚洲研究院,
29,请在今晚9点前联系张宁确认订单。,TIME: 今晚9点前; PER: 张宁,
30,南京市政府发布了新的人才政策。,ORG: 南京市政府,
31,周杰伦将在台北小巨蛋举办演唱会。,PER: 周杰伦; LOC: 台北小巨蛋,
32,Google 中国团队本月在上海招聘。,ORG: Google 中国团队; TIME: 本月; LOC: 上海,
33,赵明说他下个月会去香港出差。,PER: 赵明; TIME: 下个月; LOC: 香港,
34,马云在杭州创办了阿里巴巴。,马(B-PER) 云(I-PER) ... 杭(B-LOC) 州(I-LOC) ... 阿(B-ORG) 里(I-ORG) 巴(I-ORG) 巴(I-ORG),
35,请于2026年5月1日上午提交报告。,2026(B-TIME) 年(I-TIME) 5(I-TIME) 月(I-TIME) 1(I-TIME) 日(I-TIME) 上(I-TIME) 午(I-TIME),
36,李娜和王磊在北京开会。,李(B-PER) 娜(I-PER) ... 王(B-PER) 磊(I-PER) ... 北(B-LOC) 京(I-LOC),
37,腾讯与百度昨天在深圳签约。,腾(B-ORG) 讯(I-ORG) ... 百(B-ORG) 度(I-ORG) ... 昨(B-TIME) 天(I-TIME) ... 深(B-LOC) 圳(I-LOC),
38,张伟就职于微软亚洲研究院。,张(B-PER) 伟(I-PER) ... 微(B-ORG) 软(I-ORG) 亚(I-ORG) 洲(I-ORG) 研(I-ORG) 究(I-ORG) 院(I-ORG),
39,明天下午三点我们在南京见。,明(B-TIME) 天(I-TIME) 下(I-TIME) 午(I-TIME) 三(I-TIME) 点(I-TIME) ... 南(B-LOC) 京(I-LOC),
40,华中科技大学位于武汉。,华(B-ORG) 中(I-ORG) 科(I-ORG) 技(I-ORG) 大(I-ORG) 学(I-ORG) ... 武(B-LOC) 汉(I-LOC),
41,周一小李去上海出差。,周(B-TIME) 一(I-TIME) ... 小(B-PER) 李(I-PER) ... 上(B-LOC) 海(I-LOC),
42,阿里云今天发布新产品。,阿(B-ORG) 里(I-ORG) 云(I-ORG) ... 今(B-TIME) 天(I-TIME),
43,请联系北京大学的陈晨老师。,北(B-ORG) 京(I-ORG) 大(I-ORG) 学(I-ORG) ... 陈(B-PER) 晨(I-PER) 老(I-PER) 师(I-PER),
44,我们在广州天河路见面。,广(B-LOC) 州(I-LOC) 天(I-LOC) 河(I-LOC) 路(I-LOC),
45,OpenAI团队周五在旧金山开会。,O(B-ORG) p(I-ORG) e(I-ORG) n(I-ORG) A(I-ORG) I(I-ORG) 团(I-ORG) 队(I-ORG) ... 周(B-TIME) 五(I-TIME) ... 旧(B-LOC) 金(I-LOC) 山(I-LOC),
46,客服小张说问题已解决，我现在很满意。,分类:POS; PER: 小张,
47,虽然界面改版了，但我还是找不到入口。,分类:NEG,
48,王涛反馈昨天北京办公室网络已恢复。,分类:NEU; PER: 王涛; TIME: 昨天; LOC: 北京,
49,李雪今天在成都加入腾讯，我很期待后续合作。,分类:POS; 抽取:PER: 李雪; TIME: 今天; LOC: 成都; ORG: 腾讯; BIO: 李(B-PER)雪(I-PER)...,
50,会议改到下周三上午，刘洋将在上海主持。,分类:NEU; 抽取:TIME: 下周三上午; PER: 刘洋; LOC: 上海; BIO: 下(B-TIME)周(I-TIME)三(I-TIME)...,
