sample_id,source_dataset,subtask,task_type,difficulty_tag,input,context,question,history,reference,label,split
squad_train_0001,squad,,qa_span,easy,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary.",To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,[],Saint Bernadette Soubirous,,dev
squad_train_0002,squad,,qa_span,easy,What is in front of the Notre Dame Main Building?,The Grotto of Our Lady of Lourdes is one of the most recognizable landmarks on the campus of the University of Notre Dame.,What is in front of the Notre Dame Main Building?,[],a copper statue of Christ,,dev
squad_train_0003,squad,,qa_span,easy,What is the full name of Beyoncé?,"Beyoncé Giselle Knowles-Carter is an American singer, songwriter, record producer and actress.",What is the full name of Beyoncé?,[],Beyoncé Giselle Knowles-Carter,,check
squad_train_0004,squad,,qa_span,medium,What era did Chopin's music come from?,Frédéric François Chopin was a Polish composer and virtuoso pianist of the Romantic era.,What era did Chopin's music come from?,[],Romantic era,,check
squad_train_0005,squad,,qa_span,medium,What does solar power convert into electricity?,"Solar power is the conversion of energy from sunlight into electricity, either directly using photovoltaics.",What does solar power convert into electricity?,[],energy from sunlight,,check
coqa_dev_0001,coqa,,qa_dialogue,easy,Where did the boy go?,"The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.",Where did the boy go?,[],to the park,,annotation
coqa_dev_0002,coqa,,qa_dialogue,easy,Who went with him?,"The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.",Who went with him?,"[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}]",his dog,,annotation
coqa_dev_0003,coqa,,qa_dialogue,easy,What color was the ball?,"The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.",What color was the ball?,"[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}, {""turn_id"": 2, ""question"": ""Who went with him?"", ""answer"": ""his dog""}]",red,,annotation
coqa_dev_0004,coqa,,qa_dialogue,medium,Why did they sit under a tree?,"The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.",Why did they sit under a tree?,"[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}, {""turn_id"": 2, ""question"": ""Who went with him?"", ""answer"": ""his dog""}, {""turn_id"": 3, ""question"": ""What color was the ball?"", ""answer"": ""red""}]",because it started to rain,,annotation
coqa_dev_0005,coqa,,qa_dialogue,medium,Who ran after the ball?,"The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.",Who ran after the ball?,"[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}, {""turn_id"": 2, ""question"": ""Who went with him?"", ""answer"": ""his dog""}, {""turn_id"": 3, ""question"": ""What color was the ball?"", ""answer"": ""red""}, {""turn_id"": 4, ""question"": ""Why did they sit under a tree?"", ""answer"": ""because it started to rain""}]",the dog,,annotation
glue_sst2_train_0001,glue,sst2,text_classification,easy,a charming and often affecting journey.,,,[],,1,annotation
glue_sst2_train_0002,glue,sst2,text_classification,easy,unfunny and visually bland.,,,[],,0,annotation
glue_sst2_train_0003,glue,sst2,text_classification,easy,a predictable but warm comedy.,,,[],,1,dev
glue_mrpc_train_0001,glue,mrpc,sentence_pair,medium,The company released earnings on Tuesday.,Earnings were reported by the company Tuesday.,,[],,1,annotation
glue_mrpc_train_0002,glue,mrpc,sentence_pair,medium,He denied all allegations in court.,He admitted every allegation in court.,,[],,0,annotation
glue_mrpc_train_0003,glue,mrpc,sentence_pair,medium,The storm caused delays at the airport.,Flights were delayed because of the storm.,,[],,1,annotation
glue_mnli_train_0001,glue,mnli,textual_inference,medium,A soccer game with multiple males playing.,Some men are playing a sport.,,[],,0,annotation
glue_mnli_train_0002,glue,mnli,textual_inference,medium,A woman is reading in a cafe.,A woman is sleeping at home.,,[],,2,annotation
glue_mnli_train_0003,glue,mnli,textual_inference,medium,Children are outdoors building a snowman.,Kids are outside in winter.,,[],,1,annotation
