"annotation_id","annotation_label","annotator","context","created_at","difficulty_tag","history","id","input","label","lead_time","question","reference","sample_id","source_dataset","split","subtask","task_type","updated_at"
1,"UNSUPPORTED","1","Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary.","2026-06-01T03:34:30.791904Z","easy","[]",1,"To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?","",29.919,"To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?","Saint Bernadette Soubirous","squad_train_0001","squad","dev","","qa_span","2026-06-01T03:34:30.791917Z"
2,"UNSUPPORTED","1","The Grotto of Our Lady of Lourdes is one of the most recognizable landmarks on the campus of the University of Notre Dame.","2026-06-01T03:36:59.285667Z","easy","[]",2,"What is in front of the Notre Dame Main Building?","",31.434,"What is in front of the Notre Dame Main Building?","a copper statue of Christ","squad_train_0002","squad","dev","","qa_span","2026-06-01T03:36:59.285680Z"
3,"SUPPORTED","1","Beyoncé Giselle Knowles-Carter is an American singer, songwriter, record producer and actress.","2026-06-01T03:37:16.464309Z","easy","[]",3,"What is the full name of Beyoncé?","",15.622,"What is the full name of Beyoncé?","Beyoncé Giselle Knowles-Carter","squad_train_0003","squad","check","","qa_span","2026-06-01T03:37:16.464323Z"
4,"SUPPORTED","1","Frédéric François Chopin was a Polish composer and virtuoso pianist of the Romantic era.","2026-06-01T03:37:40.154646Z","medium","[]",4,"What era did Chopin's music come from?","",21.259,"What era did Chopin's music come from?","Romantic era","squad_train_0004","squad","check","","qa_span","2026-06-01T03:37:40.154665Z"
5,"SUPPORTED","1","Solar power is the conversion of energy from sunlight into electricity, either directly using photovoltaics.","2026-06-01T03:38:26.718018Z","medium","[]",5,"What does solar power convert into electricity?","",127.16799999999999,"What does solar power convert into electricity?","energy from sunlight","squad_train_0005","squad","check","","qa_span","2026-06-01T03:39:53.045248Z"
6,"DIALOGUE_GOOD","1","The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.","2026-06-01T03:40:39.107756Z","easy","[]",6,"Where did the boy go?","",42.057,"Where did the boy go?","to the park","coqa_dev_0001","coqa","annotation","","qa_dialogue","2026-06-01T03:40:39.107770Z"
7,"DIALOGUE_GOOD","1","The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.","2026-06-01T03:40:59.116412Z","easy","[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}]",7,"Who went with him?","",18.615,"Who went with him?","his dog","coqa_dev_0002","coqa","annotation","","qa_dialogue","2026-06-01T03:40:59.116423Z"
8,"DIALOGUE_GOOD","1","The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.","2026-06-01T03:41:09.673692Z","easy","[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}, {""turn_id"": 2, ""question"": ""Who went with him?"", ""answer"": ""his dog""}]",8,"What color was the ball?","",9.131,"What color was the ball?","red","coqa_dev_0003","coqa","annotation","","qa_dialogue","2026-06-01T03:41:09.673705Z"
9,"DIALOGUE_GOOD","1","The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.","2026-06-01T03:41:20.991673Z","medium","[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}, {""turn_id"": 2, ""question"": ""Who went with him?"", ""answer"": ""his dog""}, {""turn_id"": 3, ""question"": ""What color was the ball?"", ""answer"": ""red""}]",9,"Why did they sit under a tree?","",9.851,"Why did they sit under a tree?","because it started to rain","coqa_dev_0004","coqa","annotation","","qa_dialogue","2026-06-01T03:41:20.991686Z"
10,"DIALOGUE_GOOD","1","The boy went to the park with his dog. He threw a red ball, and the dog ran after it. After a while, they sat under a tree because it started to rain.","2026-06-01T03:41:29.765774Z","medium","[{""turn_id"": 1, ""question"": ""Where did the boy go?"", ""answer"": ""to the park""}, {""turn_id"": 2, ""question"": ""Who went with him?"", ""answer"": ""his dog""}, {""turn_id"": 3, ""question"": ""What color was the ball?"", ""answer"": ""red""}, {""turn_id"": 4, ""question"": ""Why did they sit under a tree?"", ""answer"": ""because it started to rain""}]",10,"Who ran after the ball?","",7.587,"Who ran after the ball?","the dog","coqa_dev_0005","coqa","annotation","","qa_dialogue","2026-06-01T03:41:29.765802Z"
